"""time""","""serial""","number_of_people"
2019-08-01 06:00:00,"00000000a53ed894",9
2019-08-01 06:00:00,"00000000aa852af1",40
2019-08-01 06:00:00,"00000000afef4555",25
2019-08-01 06:00:00,"00000000b33a8357",0
2019-08-01 06:00:00,"00000000cd16b8ef",0
2019-08-01 06:00:00,"00000000d747f075",25
2019-08-01 06:00:00,"00000000e8a064a4",1
2019-08-01 06:00:00,"00000000f1124bca",9
2019-08-01 06:00:00,"00000000fb7600be",54
2019-08-01 06:00:00,"00000000fdda10fe",34
2019-08-01 06:00:00,"00000000fffb8cf0",5
2019-08-01 07:00:00,"0000000006dd41f6",10
2019-08-01 07:00:00,"000000000f4919c9",13
2019-08-01 07:00:00,"0000000019fb59c4",19
2019-08-01 07:00:00,"00000000342570c2",23
2019-08-01 07:00:00,"0000000038bf9618",12
2019-08-01 07:00:00,"0000000038d83d41",20
2019-08-01 07:00:00,"000000004ef3150d",26
2019-08-01 07:00:00,"0000000053c6c2be",34
2019-08-01 07:00:00,"00000000675d5200",37
2019-08-01 07:00:00,"000000006b087f40",21
2019-08-01 07:00:00,"000000006b44cce7",112
2019-08-01 07:00:00,"0000000074f765a7",0
2019-08-01 07:00:00,"000000007b5207b6",16
2019-08-01 07:00:00,"0000000096918cfa",13
2019-08-01 07:00:00,"00000000a53ed894",8
2019-08-01 07:00:00,"00000000aa852af1",51
2019-08-01 07:00:00,"00000000afef4555",48
2019-08-01 07:00:00,"00000000b33a8357",0
2019-08-01 07:00:00,"00000000cd16b8ef",0
2019-08-01 07:00:00,"00000000d747f075",24
2019-08-01 07:00:00,"00000000e8a064a4",7
2019-08-01 07:00:00,"00000000f1124bca",43
2019-08-01 07:00:00,"00000000fb7600be",42
2019-08-01 07:00:00,"00000000fdda10fe",31
2019-08-01 07:00:00,"00000000fffb8cf0",11
2019-08-01 08:00:00,"0000000006dd41f6",12
2019-08-01 08:00:00,"000000000f4919c9",29
2019-08-01 08:00:00,"0000000019fb59c4",24
2019-08-01 08:00:00,"00000000342570c2",19
2019-08-01 08:00:00,"0000000038bf9618",12
2019-08-01 08:00:00,"0000000038d83d41",22
2019-08-01 08:00:00,"000000004ef3150d",18
2019-08-01 08:00:00,"0000000053c6c2be",39
2019-08-01 08:00:00,"00000000675d5200",55
2019-08-01 08:00:00,"000000006b087f40",22
2019-08-01 08:00:00,"000000006b44cce7",115
2019-08-01 08:00:00,"0000000074f765a7",0
2019-08-01 08:00:00,"000000007b5207b6",25
2019-08-01 08:00:00,"0000000096918cfa",14
2019-08-01 08:00:00,"00000000a53ed894",6
2019-08-01 08:00:00,"00000000aa852af1",70
2019-08-01 08:00:00,"00000000afef4555",67
2019-08-01 08:00:00,"00000000b33a8357",0
2019-08-01 08:00:00,"00000000cd16b8ef",0
2019-08-01 08:00:00,"00000000d747f075",19
2019-08-01 08:00:00,"00000000e8a064a4",11
2019-08-01 08:00:00,"00000000f1124bca",7
2019-08-01 08:00:00,"00000000fb7600be",36
2019-08-01 08:00:00,"00000000fdda10fe",41
2019-08-01 08:00:00,"00000000fffb8cf0",21
2019-08-01 09:00:00,"0000000006dd41f6",13
2019-08-01 09:00:00,"000000000f4919c9",36
2019-08-01 09:00:00,"0000000019fb59c4",33
2019-08-01 09:00:00,"00000000342570c2",18
2019-08-01 09:00:00,"0000000038bf9618",21
2019-08-01 09:00:00,"0000000038d83d41",25
2019-08-01 09:00:00,"000000004ef3150d",53
2019-08-01 09:00:00,"0000000053c6c2be",31
2019-08-01 09:00:00,"00000000675d5200",52
2019-08-01 09:00:00,"000000006b087f40",24
2019-08-01 09:00:00,"000000006b44cce7",123
2019-08-01 09:00:00,"0000000074f765a7",0
2019-08-01 09:00:00,"000000007b5207b6",45
2019-08-01 09:00:00,"0000000096918cfa",7
2019-08-01 09:00:00,"00000000a53ed894",8
2019-08-01 09:00:00,"00000000aa852af1",66
2019-08-01 09:00:00,"00000000afef4555",77
2019-08-01 09:00:00,"00000000b33a8357",0
2019-08-01 09:00:00,"00000000cd16b8ef",0
2019-08-01 09:00:00,"00000000d747f075",2
2019-08-01 09:00:00,"00000000e8a064a4",12
2019-08-01 09:00:00,"00000000f1124bca",8
2019-08-01 09:00:00,"00000000fb7600be",40
2019-08-01 09:00:00,"00000000fdda10fe",52
2019-08-01 09:00:00,"00000000fffb8cf0",19
2019-08-01 10:00:00,"0000000006dd41f6",11
2019-08-01 10:00:00,"000000000f4919c9",25
2019-08-01 10:00:00,"0000000019fb59c4",21
2019-08-01 10:00:00,"00000000342570c2",20
2019-08-01 10:00:00,"0000000038bf9618",23
2019-08-01 10:00:00,"0000000038d83d41",26
2019-08-01 10:00:00,"000000004ef3150d",27
2019-08-01 10:00:00,"0000000053c6c2be",27
2019-08-01 10:00:00,"00000000675d5200",56
2019-08-01 10:00:00,"000000006b087f40",24
2019-08-01 10:00:00,"000000006b44cce7",125
2019-08-01 10:00:00,"0000000074f765a7",0
2019-08-01 10:00:00,"000000007b5207b6",30
2019-08-01 10:00:00,"0000000096918cfa",8
2019-08-01 10:00:00,"00000000a53ed894",9
2019-08-01 10:00:00,"00000000aa852af1",61
2019-08-01 10:00:00,"00000000afef4555",84
2019-08-01 10:00:00,"00000000b33a8357",0
2019-08-01 10:00:00,"00000000cd16b8ef",0
2019-08-01 10:00:00,"00000000d747f075",2
2019-08-01 10:00:00,"00000000e8a064a4",5
2019-08-01 10:00:00,"00000000f1124bca",11
2019-08-01 10:00:00,"00000000fb7600be",40
2019-08-01 10:00:00,"00000000fdda10fe",42
2019-08-01 10:00:00,"00000000fffb8cf0",23
2019-08-01 11:00:00,"0000000006dd41f6",10
2019-08-01 11:00:00,"000000000f4919c9",31
2019-08-01 11:00:00,"0000000019fb59c4",18
2019-08-01 11:00:00,"00000000342570c2",18
2019-08-01 11:00:00,"0000000038bf9618",20
2019-08-01 11:00:00,"0000000038d83d41",24
2019-08-01 11:00:00,"000000004ef3150d",41
2019-08-01 11:00:00,"0000000053c6c2be",20
2019-08-01 11:00:00,"00000000675d5200",46
2019-08-01 11:00:00,"000000006b087f40",25
2019-08-01 11:00:00,"000000006b44cce7",130
2019-08-01 11:00:00,"0000000074f765a7",0
2019-08-01 11:00:00,"000000007b5207b6",26
2019-08-01 11:00:00,"0000000096918cfa",8
2019-08-01 11:00:00,"00000000a53ed894",5
2019-08-01 11:00:00,"00000000aa852af1",66
2019-08-01 11:00:00,"00000000afef4555",81
2019-08-01 11:00:00,"00000000b33a8357",0
2019-08-01 11:00:00,"00000000cd16b8ef",0
2019-08-01 11:00:00,"00000000d747f075",2
